Char Code
㐀 U+3400
㐁 U+3401
㐂 U+3402
㐄 U+3404
㐅 U+3405
㐆 U+3406
㐌 U+340C
㐖 U+3416
㐜 U+341C
㐡 U+3421
㐤 U+3424
㐧 U+3427
㐨 U+3428
㐩 U+3429
㐫 U+342B
㐬 U+342C
㐭 U+342D
㐮 U+342E
㐯 U+342F
㐰 U+3430
㐱 U+3431
㐲 U+3432
㐳 U+3433
㐴 U+3434
㐵 U+3435
㐷 U+3437
㐸 U+3438
㐹 U+3439
㐺 U+343A
㐻 U+343B
㐼 U+343C
㐽 U+343D
㑀 U+3440
㑁 U+3441
㑂 U+3442
㑃 U+3443
㑄 U+3444
㑅 U+3445
㑇 U+3447
㑈 U+3448
㑉 U+3449
㑊 U+344A
㑋 U+344B
㑌 U+344C
㑍 U+344D
㑎 U+344E
㑏 U+344F
㑐 U+3450
㑔 U+3454
㑗 U+3457
㑘 U+3458
㑙 U+3459
㑚 U+345A
㑛 U+345B
㑜 U+345C
㑝 U+345D
㑞 U+345E
㑟 U+345F
㑣 U+3463
㑤 U+3464
㑥 U+3465
㑦 U+3466
㑧 U+3467
㑨 U+3468
㑩 U+3469
㑪 U+346A
㑫 U+346B
㑮 U+346E
㑯 U+346F
㑰 U+3470
㑱 U+3471
㑳 U+3473
㑴 U+3474
㑵 U+3475
㑶 U+3476
㑷 U+3477
㑸 U+3478
㑹 U+3479
㑺 U+347A
㑻 U+347B
㑼 U+347C
㑽 U+347D
㑾 U+347E
㑿 U+347F
㒀 U+3480
㒁 U+3481
㒂 U+3482
㒃 U+3483
㒄 U+3484
㒅 U+3485
㒆 U+3486
㒇 U+3487
㒈 U+3488
㒉 U+3489
㒊 U+348A
㒋 U+348B
㒌 U+348C
㒍 U+348D
㒎 U+348E
㒑 U+3491
㒒 U+3492
㒓 U+3493
㒔 U+3494
㒕 U+3495
㒖 U+3496
㒗 U+3497
㒙 U+3499
㒚 U+349A
㒛 U+349B
㒜 U+349C
㒝 U+349D
㒞 U+349E
㒟 U+349F
㒠 U+34A0
㒡 U+34A1
㒤 U+34A4
㒥 U+34A5
㒦 U+34A6
㒧 U+34A7
㒨 U+34A8
㒩 U+34A9
㒪 U+34AA
㒫 U+34AB
㒭 U+34AD
㒯 U+34AF
㒰 U+34B0
㒲 U+34B2
㒳 U+34B3
㒴 U+34B4
㒵 U+34B5
㒶 U+34B6
㒷 U+34B7
㒸 U+34B8
㒹 U+34B9
㒻 U+34BB
㒼 U+34BC
㒽 U+34BD
㒾 U+34BE
㒿 U+34BF
㓁 U+34C1
㓂 U+34C2
㓃 U+34C3
㓄 U+34C4
㓅 U+34C5
㓈 U+34C8
㓉 U+34C9
㓊 U+34CA
㓋 U+34CB
㓌 U+34CC
㓎 U+34CE
㓏 U+34CF
㓐 U+34D0
㓑 U+34D1
㓓 U+34D3
㓔 U+34D4
㓖 U+34D6
㓗 U+34D7
㓘 U+34D8
㓙 U+34D9
㓚 U+34DA
㓛 U+34DB
㓜 U+34DC
㓝 U+34DD
㓞 U+34DE
㓟 U+34DF
㓠 U+34E0
㓡 U+34E1
㓢 U+34E2
㓣 U+34E3
㓤 U+34E4
㓥 U+34E5
㓦 U+34E6
㓧 U+34E7
㓨 U+34E8
㓩 U+34E9
㓪 U+34EA
㓬 U+34EC
㓭 U+34ED
㓮 U+34EE
㓯 U+34EF
㓰 U+34F0
㓱 U+34F1
㓲 U+34F2
㓳 U+34F3
㓴 U+34F4
㓵 U+34F5
㓶 U+34F6
㓷 U+34F7
㓸 U+34F8
㓹 U+34F9
㓺 U+34FA
㓻 U+34FB
㓼 U+34FC
㓽 U+34FD
㓾 U+34FE
㔀 U+3500
㔁 U+3501
㔂 U+3502
㔃 U+3503
㔄 U+3504
㔅 U+3505
㔆 U+3506
㔇 U+3507
㔉 U+3509
㔊 U+350A
㔋 U+350B
㔌 U+350C
㔍 U+350D
㔎 U+350E
㔏 U+350F
㔐 U+3510
㔑 U+3511
㔒 U+3512
㔓 U+3513
㔕 U+3515
㔗 U+3517
㔘 U+3518
㔙 U+3519
㔚 U+351A
㔜 U+351C
㔝 U+351D
㔞 U+351E
㔠 U+3520
㔡 U+3521
