U+3400|jau1
U+3401|tim2
U+3402|hei2
U+3405|ng5
U+3406|zaan2
U+340C|ji4
U+3416|zip6
U+341C|caau4
U+3421|no6
U+3424|kaau4
U+3427|dai6
U+3428|zeoi6
U+3429|zing4
U+342B|gun3 hung1 zung1
U+342C|lau4
U+342D|lam5
U+342E|soeng1
U+342F|jung4
U+3430|seon3
U+3431|caa5 caan2 dou3 zaan2
U+3432|daai6
U+3433|ngaat6
U+3434|paan1
U+3435|jyu4
U+3437|maa6
U+3438|gim1 him3
U+3439|go1 kwok3 ngaat6
U+343A|zung3
U+343B|fu1 mou5 noi6
U+343C|cing2
U+343D|fung1
U+3440|taai3
U+3441|zyut3 zyut6
U+3442|fong2 pong4
U+3443|au2 au3 paai1
U+3444|mou5
U+3445|zok3 zok6
U+3447|zaau3
U+3448|dung1
U+3449|cuk1
U+344A|zik6
U+344B|kung4
U+344C|hong1
U+344D|leoi5
U+344E|nou5
U+344F|cyu5 zyu2
U+3450|suk1
U+3454|seoi2
U+3457|saan1 saan6
U+3458|gaai3
U+3459|dip6
U+345A|naa4 no4
U+345B|cuk1
U+345C|zaai6
U+345D|lung6
U+345E|zing6
U+345F|mang1
U+3463|lam2 lam4
U+3464|miu4
U+3465|zi6
U+3466|leoi6
U+3467|gwai3
U+3468|zyu5
U+3469|lo4
U+346A|caai4
U+346E|gwaat1 waan4
U+346F|seoi1
U+3470|fui4
U+3471|nau4
U+3473|zaau3
U+3474|caam1 cam1
U+3475|zat6
U+3476|haai4 hei3
U+3477|taai3
U+3478|ziu4
U+3479|gwat3 mok6 wui6
U+347A|zeoi6 zeon3
U+347B|maa6 mei5
U+347C|loek6
U+347D|tong4
U+347E|ziu4
U+347F|coek3 huk6 zau3 ziu6
U+3480|cim4 cip3 zak6
U+3481|sou3 zyu5
U+3482|zoek6
U+3483|zi6
U+3484|ngam4 zim5
U+3485|kai2
U+3486|kap1
U+3487|ng5
U+3488|hon6
U+3489|tong2
U+348A|saap1 sik1
U+348B|si1
U+348C|king4
U+348D|leoi5
U+348E|sat3
U+3491|hung2 kui2 wak6
U+3492|buk6
U+3493|taat3
U+3494|suk6
U+3495|zoeng1
U+3496|ngaau5
U+3497|toi4
U+3499|min4 min6
U+349A|waan2
U+349B|deoi2 diu6
U+349C|zyu5
U+349D|mit6 ziu5
U+349E|zeon3
U+349F|niu5 seoi1
U+34A0|haai6
U+34A1|zaau4
U+34A4|sip3 zip3
U+34A5|fung1 gaam2
U+34A6|deoi3 leoi5
U+34A7|lai6
U+34A8|sin1
U+34A9|lo2
U+34AA|sek3
U+34AB|gei3 hei2
U+34AD|kwaan1 kwaan1 leoi4
U+34AF|jip6
U+34B0|cyun4 zan2
U+34B2|coi4
U+34B3|loeng5
U+34B4|gwat1
U+34B5|mau6 mo1
U+34B6|gung1
U+34B7|hing2 hing3
U+34B8|seoi6
U+34B9|din1
U+34BB|mou6
U+34BC|mang4 mun4
U+34BD|hyun1
U+34BE|si6
U+34BF|lei4
U+34C1|mong5
U+34C2|kaau3 taau3
U+34C3|dou3
U+34C4|saam2 zaam3
U+34C5|ding1 ting1
U+34C8|bing1
U+34C9|gwaat3 gwat3 kut3 wun6 wut6
U+34CA|dung6
U+34CB|gung6
U+34CC|cang1 gwai3 ting4 tong3
U+34CE|caam1 saam6
U+34CF|gwing2
U+34D0|luk6
U+34D1|haang6
U+34D3|lam5 nam4
U+34D4|ze6
U+34D6|bit1
U+34D7|git3
U+34D8|suk1
U+34D9|hung1 kung4
U+34DA|geoi6 gung1 kung4
U+34DB|gung1
U+34DC|zaau3 ziu3
U+34DD|zing4
U+34DE|kaai3
U+34DF|ngo4 pai1 pei1
U+34E0|dim3
U+34E1|fu2
U+34E2|lok3
U+34E3|got3 zak6
U+34E4|gat1 hot3 kit3 kit6
U+34E5|tong1
U+34E6|bak3
U+34E7|deoi1 haang1 zim1 zim2
U+34E8|ci3
U+34E9|fan3 hin2 hyun1
U+34EA|long5
U+34EC|fu1
U+34ED|hot3
U+34EE|diu1
U+34EF|lei4
U+34F0|waak6
U+34F1|syu1
U+34F2|pin3
U+34F3|dai1
U+34F4|zyun5
U+34F5|ngok6
U+34F6|kit3
U+34F7|nau4 zi6
U+34F8|coek3 sau2 zoek3
U+34F9|zeoi6
U+34FA|gin1 gin6 kin4
U+34FB|gong1
U+34FD|sung4
U+34FE|sai1
U+3500|king4
U+3501|daang1 taang1
U+3502|leon4
U+3503|zyut6
U+3504|suk1
U+3505|siu3
U+3506|caam5
U+3507|put3
U+3509|cung2 zuk1
U+350A|tan2
U+350B|ham3 ham5 lam6
U+350C|sei3 tam3 zap3 zau6 zek3 zik3
U+350D|cap3 zaa3 zaai3
U+350E|sit3
U+350F|gak3 lik6
U+3510|cim1
U+3512|kwai4
U+3513|gin2 zin2
U+3515|gaat1 kaau1
U+3517|bei6 faai3 fan4 gaat1 ngaat6
U+3518|zeot1
U+3519|ping1
U+351A|aau2 haau2
U+351C|but6
U+351D|loeng5
U+351E|fai3
U+3520|hat6
U+3521|bit3
U+3522|waai4 zyut6
U+3523|leoi4
U+3524|saam2
U+3525|baai6 pei4
U+3526|zoeng5 zoeng6
U+3527|leoi6
U+3528|bui3
U+3529|aap6
U+352A|lou5
U+352C|coek3 zau3
U+352D|ci4
U+352F|syun3
U+3530|hang4
U+3531|zyu5
U+3533|gei2 gwaai2
U+3534|zik6
U+3535|syun2 wan4
U+3536|gaam2 gung3 zi1
U+3537|lau6
U+3538|cam2 taai1 zyun1
U+3539|lak6
U+353A|saai3 si6
U+353B|pei1
U+353C|seon2
U+353D|zaau5
U+353E|zit3
U+353F|zau3
U+3541|koek3
U+3542|zaam4 zaam6
U+3543|him3 kaai1 lim4 zap3
U+3544|zi3
U+3545|gaap3
U+3546|wu6
U+3547|lap3
U+3548|at3 zi2
U+354A|bou1 bou1
U+354B|kam4
U+354C|ngoi6 zak6
U+354D|deoi1
U+354F|cyu4
U+3550|se2
U+3551|ceoi4 cyu4
U+3552|faai1 waai4 waai6
U+3553|cin4
U+3554|teng1 ting1
U+3555|nap6 wan6
U+3556|sou3
U+3557|zaau5
U+3558|caam1 sam1
U+3559|zeon3
U+355A|zaau2
U+355B|zaau5
U+355C|sei3 si2
U+355E|caat3
U+355F|wai2
U+3560|soeng1
U+3561|hang1 kok3
U+3563|zin2
U+3564|gwaai2 kaau4
U+3565|zyu5
U+3566|waa6 zyu5
U+3567|si1
U+3568|faan6
U+3569|zoeng3
U+356A|dam2
U+356B|fong2
U+356C|gung1 zung6
U+356D|au3 jaau1
U+356E|fu2
U+356F|neot6
U+3570|huk6 maa3
U+3571|zaau4
U+3572|muk1 zing4
U+3573|hung1
U+3574|caam4
U+3575|gwok3
U+3576|ng6
U+3577|pak1
U+3578|lai6 lap1 lap6
U+3579|fat6
U+357A|hiu1
U+357B|faau2 fu3 taau3
U+357C|dung6 hung1
U+357D|cek3 ci5 ji5
U+3580|laak6 lak6 loet3
U+3581|leon6
U+3582|zaai6
U+3583|haam1 haau3 haau6
U+3584|zaau1 zaau3
U+3585|seot1
U+3586|kuk1
U+3587|mei1 ji4 zi4
U+358F|nip6
U+3590|do6 hei3 waai2
U+3591|hai6
U+3592|tai4
U+3593|hung4
U+3594|taan1
U+3595|zip6 zit6
U+3596|saan1 zip6 zit6
U+3597|zaam4
U+3598|san2 seon2
U+359E|waa1
U+359F|sau6
U+35A0|nap6 no4
U+35A1|e6 ze6
U+35A2|ci1
U+35A3|bu4 tau3
U+35A4|haam4
U+35A5|kwaan3 leon1 zeon1
U+35A6|dung2
U+35A7|faan1
U+35A8|luk6
U+35A9|zaau1
U+35AA|gwok3
U+35AB|ling4
U+35AD|tim1 tim2
U+35AE|leon4 leon4
U+35B6|zin1 zin3 zit3
U+35B7|taai4
U+35B8|koek6
U+35B9|fu2 paan3 pun4
U+35BA|ceon2
U+35BB|zaau4
U+35BC|mau4
U+35BD|zaak3
U+35BE|ngok6
U+35BF|ce4 ze4
U+35C0|zaau1
U+35C1|ngok6 zit6
U+35C2|saang2
U+35C3|maan4 maan5
U+35C4|man4 man6 ming4
U+35C5|wu4
U+35C6|gaak3
U+35C7|gaa5 haa4
U+35C8|maan6
U+35C9|loek6
U+35CA|leoi4 lo4
U+35CB|hau4
U+35CC|zaat6
U+35CE|gaa2 gaa3 gaa4
U+35D1|bai6
U+35D2|oi2
U+35D3|ci3 zeoi1
U+35D4|hin1
U+35D5|gaau3 ngaau1
U+35D6|daam6
U+35D7|bai2 bei1
U+35D8|bok3 bok6
