U+3400|(same as U+4E18 丘) hillock or mound
U+3401|to lick; to taste, a mat, bamboo bark
U+3402|(J) non-standard form of U+559C 喜, to like, love, enjoy; a joyful thing
U+3405|(an ancient form of U+4E94 五) five
U+3406|(corrupted form) to follow, to trust to; to put confidence in; to depend on, to turn around; to turn the body, (interchangeable 隱)
U+340C|a tribe of savages in South China
U+3416|㐖毒, an old name for India
U+341C|(same as 仇) an enemy, enmity, hatred, to hate, a rival, a match
U+3421|(same as 懦) weak; timid; imbecile
U+3424|to implore; to beseech, to seek after, to beg; to pray
U+3427|(J) non-standard form of 第 U+7B2C, sequence, number; grade, degree
U+3428|a kind of fish in legend (a record in old books)
U+3429|wine cups
U+342B|(same as 凶) cruel, unfortunate, sad
U+342C|(same as U+65D2 旒, a corrupted form of U+8352 荒) a cup with pendants, a pennant, wild, barren, uncultivated
U+342D|(same as 廩) a granary, to supply (foodstuff), to stockpile
U+342E|(same as 襄) to help; to assist, to achieve, to rise; to raise
U+342F|(ancient form of 庸) to employ; to use, to manifest
U+3430|(ancient form of 信) to believe in; to trust, truth, sincerity, confidence, a pledge or token
U+3431|(same as 鬒) bushy, black hair
U+3432|name of an island
U+3433|high and level on the top
U+3434|(non-classical of 攀) to drag down; to seize, to pull, to hold to
U+3435|Confucianism; scholar
U+3437|a kind of punishment in Han Dynasty, name of chessmen in Chinese chess game (simplified form, a variant 罵) to curse; to revile; to abuse, to scold
U+3438|(non-classical form of 欠) to owe money, deficient, to yawn, last name
U+3439|(standard form of 仡) strong; valiant, a minority ethnic group in China
U+343A|(standard form of 眾) all; the whole of; a multitude, a crowd (three or more)
U+343B|name of a person
U+343C|(corrupted form of 拯) to save; to lift up
U+343D|(simplified form of 偑) name of a place, last name
U+3441|(same as U+20B74 𠭴) short; of short stature
U+3442|(same as 仿) to imitate, like; resembling, according to
U+3443|(same as 拗) to pull; to drag, to break off, to pluck, as a flower
U+3444|(ancient form of 侮) to insult, to ridicule
U+3445|(same as 作) to make; to do; to act, to write; to compose; to rise, work
U+3447|(a simplified form) clever; ingenious; cute; pretty
U+3448|(simplified form) rude; barbarous, stupid; dull, last name
U+3449|cannot straighten up
U+344A|a kind of disease
U+344B|small, poor, submit to the dominion of; slow; late
U+344C|(same as 尪) weak; a rickety person; emaciated
U+344D|inferior; secondary, ugly
U+344E|last name
U+344F|(corrupted form of U+4F47 佇) to stand and wait; to hope for
U+3450|to move; to start; to shake, name of a person
U+3454|(a simplified form) (corrupted form of 偦) all together, mutually, last name
U+3457|a god, pregnant
U+3458|(same as 价) a servant, a middle-man, good, great; (a simplified form) price; value
U+3459|frivolous; flippant; capricious; playful
U+345A|(non-classical form of 那) that, there
U+345B|to shake one's head
U+345C|(a dialect) to engrave
U+345D|to make a fool of; idiotic, simple, stupid
U+345E|(same as 媵) (in old time) a maid who accompanies a bride to her new home; to escort, a concubine
U+345F|insincere and cunning person; a pretentious person
U+3463|stupid; loutish, without ability; unable; lacking power
U+3464|(same as 媌) good looking, a prostitute
U+3465|disrespectful; irreverent, to make light of; to neglect; careless; rush, to exchange, (said of one's personality) easy to get along with
U+3466|anger; rage; angry, (same as 戾) recalcitrant; stubbornly persisting in doing something wrong; cruel; despotic
U+3467|(corrupted form of 悸) perturbed, to throb, palpitation of the heart
U+3468|great; big; tall; vast, noble; high in rank, very; much
U+3469|(simplified form of U+5138 儸) smart; clever
U+346A|(non-classical form of 儕) a generation, a class; a series; a kind
U+346E|last name, girl's name
U+346F|last name, all; together; mutually, a low rank officer to take charge of the bandits in ancient time
U+3470|(a corrupted form) distress; very difficulty; anxiety; very tired
U+3471|a kind of monkey, fingering for an ancient string instrument
U+3473|(same as 媰) pregnant (妊娠, 妊身); cruel; pretty, cute, clever, ingenious, smart; to be hired; (used for 謅) to jest, to chaff, to bawl, mean person (as opposed to real gentleman)
U+3474|(standard form of 侵) to usurp, to encroach upon, to raid
U+3475|(same as 嫉) envy; jealousy, to hate
U+3476|(non-classical form of 愾) anger; passion; rage, to sigh; to groan
U+3477|(same as 態) manner, bearing, behaviour, policy, attitude
U+3479|(non-classical of 會) to meet; to assemble, to co-operate, a society; a guild; an association
U+347A|(a variant of 俊) superior, handsome, refined, eminent
U+347B|strong, robust, vigorous
U+347C|name of a god
U+347D|(same as 傏) to ward off; to parry; to keep out, as wind, rain, or cold
U+347E|(interchangeable 繇) joy, delight, gratification
U+347F|long, of space or time, profitable, excelling
U+3480|do not fear to
U+3481|(same as 俁) of great stature; stalwart, to injure, to grieve
U+3482|to bestow; to grant, to act; to do, quiet; still, peace; tranquility
U+3483|(same as 貳) capital form of two, a second job, to harbour doubts; to hesitate, to revolt
U+3484|brittle and friable, fear; dread; fright; scare
U+3485|to unbind the collar
U+3486|(same as 歙) to gather the harvest; to gather together
U+3487|(same as 憮) to skip about; to dance for joy; to soothe, slow, disappointed
U+3488|dangerous; lofty; steep; high and dangerous
U+3489|(same as 惝) alarmed; agitated
U+348A|loquacious
U+348B|(same as U+5EDD 廝) a servant; a menial, a woodcutter
U+348C|(ancient form of 煢) along; desolate; orphaned
U+348D|(interchangeable U+50AB 儽) utterly weary in body and spirits; negligent; lax
U+348E|evil, wicked, wrong, foul
U+3491|grow up, commodity prices
U+3492|(same as 僕) a slave; a servant, used conventionally for oneself, a charioteer
U+3493|to escape; to abscond; to flee, (interchangeable 達)
U+3494|to shake one's head, ugly, not in peace
U+3495|unyield
U+3496|(same as 藕) the root-stock of the lotus; arrowroot
U+3497|(a variant of 儓) a servant
U+3499|to hand or bow the head; to droop; to lower, low; beneath
U+349A|(same as U+7A69 穩) firm; stable; secure, dependent upon others
U+349B|to stand alone; independent
U+349C|respectful; attentive, carefully; cautious; to heed; to be watchful, to rely on; to trust to; to lean towards
U+349D|to deceive; artful; false
U+349E|valiant; brave, eminent
U+349F|(same as 褭) with a charming; slim carriage (of a woman), pretty
U+34A0|narrow; contracted, quickly; fast; hasty; soon; promptly
U+34A1|name of a person
U+34A4|to have one's heart won; to submit, admire, etc. sincerely and willingly, (interchangeable 懾) to fear; to dread; to be scared of
U+34A5|an immortal
U+34A6|(same as 儡) puppets, very tired; fatigued; weary and weak
U+34A7|(same as 儷) a pair; a couple, luxuriant; lush; exuberant
U+34A8|(ancient form of 仙) an immortal; a fairy; a genie
U+34A9|(same as 梴 裸) naked, to strip; to unclothe
U+34AA|(ancient form of 錫) tin; pewter
U+34AB|(ancient form of 旡) choked and unable to breath
U+34AD|(same as 昆) an elder brother
U+34B0|(a variant, seal type of U+5168 全) perfect, complete, absolute
U+34B2|(a variant of 財) wealth; property; valuables, bribes
