U+349A|은:N
U+34D7|결:N
U+3515|글:N
U+3521|별:N
U+35FF|하:N
U+366F|예:N
U+36C3|결:N
U+36C4|의:N
U+36C5|이:N
U+36E6|람:N
U+3723|연:N
U+372F|희:N
U+373A|찬:N
U+37BC|승:N
U+380C|기:N
U+3818|서:N
U+3883|랑:N
U+38BA|현:N
U+38E7|윤:N
U+38FD|서:N
U+3960|서:N
U+3965|우:N
U+3983|산:N
U+3990|니:N
U+39A5|헌:N
U+39B6|용:N
U+3A39|설:N
U+3AA4|필:N
U+3ADC|단:N
U+3AF6|주:N
U+3B03|대:N
U+3B23|대:N
U+3B79|현:N
U+3BF3|경:N
U+3C14|섭:N
U+3C24|하:N
U+3C2D|후:N
U+3CBD|인:N
U+3CBE|우:N
U+3CFC|필:N
U+3D17|유:N
U+3D5F|미:N
U+3DBC|애:N
U+3DC2|서:N
U+3EC4|보:N
U+3EED|슬:N
U+3EFD|선:N 수:N
U+3F04|기:N
U+402F|보:N
U+4034|영:N
U+4062|선:N
U+40A9|연:N
U+40C9|민:N
U+4137|석:N
U+41AC|운:N
U+4259|운:N
U+43BB|주:N
U+43C7|표:N
U+43E7|나:N
U+43EA|이:N
U+4450|진:N
U+4512|배:N
U+45F2|린:N
U+4618|소:N 어:N
U+46B7|혜:N
U+46BE|임:N
U+46D4|나:N
U+46D8|임:N
U+46DD|노:N
U+472D|예:N 준:N
U+476C|주:N
U+477D|애:N
U+479F|백:N
U+4863|헌:N
U+4883|예:N
U+4896|건:N 율:N
U+48A6|솔:N
U+4925|귀:N
U+499E|윤:N
U+49A5|한:N
U+49CB|현:N
U+4A12|우:N
U+4A2D|소:N
U+4AB8|민:N
U+4ADF|운:N 혼:N
U+4AE8|오:N
U+4AFB|율:N
U+4B53|안:N 온:N
U+4B71|별:N
U+4CDF|명:N
U+4CE0|수:N
U+4D1B|소:N
U+4E00|일:0E
U+4E01|정:0E
U+4E03|칠:0E
U+4E07|만:0N
U+4E08|장:0E
U+4E09|삼:0E
U+4E0A|상:0E
U+4E0B|하:0E
U+4E0D|부:0N 불:0E
U+4E11|축:0E
U+4E14|차:0E
U+4E15|비:0N
U+4E16|세:0E
U+4E18|구:0E
U+4E19|병:0E
U+4E1E|승:0N
U+4E1F|주:1N
U+4E26|병:1N
U+4E2B|아:1N
U+4E2D|중:0E
U+4E30|봉:1N
U+4E31|관:1N
U+4E32|곶:0N 관:0N
U+4E38|환:0E
U+4E39|단:0E 란:0N
U+4E3B|주:0E
U+4E42|예:0N
U+4E43|내:0E
U+4E45|구:0E
U+4E4B|지:0E
U+4E4D|사:0N
U+4E4E|호:0E
U+4E4F|핍:0N
U+4E56|괴:0N
U+4E58|승:0E
U+4E59|을:0E
U+4E5D|구:0E
U+4E5E|걸:0E
U+4E5F|야:0E
U+4E67|둘:1N
U+4E6B|갈:0N
U+4E6C|걸:1N
U+4E6D|돌:0N
U+4E73|유:0E
U+4E76|볼:0N
U+4E77|살:0N
U+4E7A|솔:N
U+4E7B|얼:N
U+4E7C|줄:1N
U+4E7E|건:0E
U+4E82|난:0 란:0E
U+4E86|료:0E 요:0
U+4E88|여:0E
U+4E8B|사:0E
U+4E8C|이:0E
U+4E8E|우:0E
U+4E8F|우:1
U+4E90|울:0
U+4E91|운:0E
U+4E92|호:0E
U+4E94|오:0E
