U+4E00|yī(32747)
U+4E01|dīng(16)
U+4E03|qī(950)
U+4E07|wàn(1335)
U+4E08|zhàng(112)
U+4E09|sān(3030)
U+4E0A|shàng(12308) shang(392)
U+4E0B|xià(6430) xia(249)
U+4E0D|bù(23305) bu(555)
U+4E0E|yǔ(962) yù(10)
U+4E11|chǒu(31)
U+4E13|zhuān(602)
U+4E14|qiě(1051)
U+4E16|shì(1238)
U+4E18|qiū(58)
U+4E19|bǐng(30)
U+4E1A|yè(2095)
U+4E1B|cóng(69)
U+4E1C|dōng(1601)
U+4E1D|sī(186)
U+4E1F|diū(144)
U+4E22|diū(144)
U+4E24|liǎng(3229)
U+4E25|yán(633)
U+4E27|sàng(22)
U+4E2A|gè(11693) ge(1891) gě(18)
U+4E2B|yā(56)
U+4E2D|zhōng(4875) zhòng(66)
U+4E30|fēng(264)
U+4E32|chuàn(104)
U+4E34|lín(220)
U+4E38|wán(13)
U+4E39|dān(31) dan(11)
U+4E3A|wèi(3962) wéi(2433)
U+4E3B|zhǔ(6884)
U+4E3D|lì(215)
U+4E3E|jǔ(541) ju(8)
U+4E43|nǎi(27)
U+4E45|jiǔ(467)
U+4E48|me(8053)
U+4E49|yì(4472)
U+4E4B|zhī(2282)
U+4E4C|wū(69)
U+4E4E|hu(304) hū(284)
U+4E4F|fá(103)
U+4E50|lè(283) yuè(54)
U+4E52|pīng(29)
U+4E53|pāng(29)
U+4E56|guāi(19)
U+4E58|chéng(106)
U+4E59|yǐ(45)
U+4E5D|jiǔ(1453)
U+4E5F|yě(7359)
U+4E60|xí(836)
U+4E61|xiāng(433)
U+4E66|shū(1446)
U+4E70|mǎi(774)
U+4E71|luàn(357)
U+4E73|rǔ(24)
U+4E82|luàn(357)
U+4E86|le(30101) liǎo(654) liào(19)
U+4E88|yǔ(40)
U+4E89|zhēng(1708)
U+4E8B|shì(3356) shi(210)
U+4E8C|èr(2718)
U+4E8E|yú(3483)
U+4E8F|kuī(71)
U+4E91|yún(207)
U+4E92|hù(288)
U+4E94|wǔ(1864)
U+4E95|jǐng(147)
U+4E9A|yà(26)
U+4E9B|xiē(3689)
U+4E9E|yà(26)
U+4EA1|wáng(94)
U+4EA4|jiāo(642)
U+4EA6|yì(35)
U+4EA7|chǎn(4099)
U+4EA9|mǔ(107)
U+4EAB|xiǎng(76)
U+4EAD|tíng(53)
U+4EAE|liàng(415) liang(134)
U+4EB2|qīn(1029) qin(428)
U+4EBA|rén(16866) ren(280)
U+4EBF|yì(195)
U+4EC0|shén(4045) shen(17)
U+4EC5|jǐn(402)
U+4EC7|chóu(71)
U+4ECA|jīn(1239)
U+4ECB|jiè(156)
U+4ECD|réng(378)
U+4ECE|cóng(3708) cōng(25)
U+4ED3|cāng(47)
U+4ED4|zǐ(132)
U+4ED6|tā(16038)
U+4ED7|zhàng(128)
U+4ED8|fù(83) fu(77)
U+4ED9|xian(18) xiān(17)
U+4EE3|dài(1881)
U+4EE4|lìng(453)
U+4EE5|yǐ(6111)
U+4EEA|yí(120)
