U+3401|10019.020:tiàn
U+3406|10038.080:yǐn
U+340C|10036.020:yí
U+3416|10053.130:xié
U+3424|10263.070:dān,qiú
U+3428|10055.060:xù
U+3429|10023.010:xíng
U+3432|10113.010:dài
U+3433|10113.030:wù
U+3438|10125.020:qiàn,cì
U+343A|10124.030:yín,zhòng
U+343B|10122.010:nèi
U+3449|10151.010:sù
U+344A|10152.030:yì
U+344B|10147.110:qióng
U+344C|10143.120:wāng,kuāng
U+344D|10149.010:lèi
U+344E|10155.010:nǎo
U+3450|10147.050:shū
U+3457|10163.040:shēn
U+3459|10156.150:dié
U+345A|10154.070:nuó
U+345B|10157.040:sù
U+345C|10156.130:yì,chì
U+345E|10166.030:yìng
U+345F|10163.020:běng
U+3463|10172.010:lán
U+3465|10178.010:yì
U+3466|10184.080:lì
U+346E|10195.090:hún
U+346F|10188.050:xǔ
U+3473|10204.060:zhòu,zhū
U+3476|10203.080:xì
U+3478|10201.020:yáo
U+347B|10215.050:mà
U+347C|10211.020:lüè
U+347E|10213.050:yáo
U+347F|10215.110:zhào
U+3480|10214.090:zhāi,zhǎ
U+3481|10211.030:yǔ
U+3482|10223.130:zhuó
U+3484|10220.130:rǎn
U+3485|10221.030:qǐ
U+3487|10220.020:wǔ
U+3488|10216.130:hàn
U+348A|10232.080:sè
U+348D|10223.040:léi
U+348E|10220.030:sà
U+3491|10224.090:kuǐ,huì
U+3493|10217.020:tà
U+3494|10225.090:shú,dú,tù
U+3495|10228.010:yāng
U+3499|10232.100:mián
U+349A|10231.080:yìn,wěn
U+349B|10232.070:diào
U+349C|10231.040:yǔ
U+349D|10233.010:miè,wà
U+349F|10236.140:niǎo
U+34A0|10236.080:xiè
U+34A1|10237.110:yóu
U+34A4|10238.070:chè
U+34A5|10238.090:fēng
U+34A6|10238.100:lěi,lèi
U+34B4|10129.040:gǔ
U+34B8|10248.050:suì
U+34BC|10101.030:mán
U+34BD|21519.060:quān
U+34BE|21526.050:shì
U+34BF|21542.110:lí
U+34C3|10305.070:dù
U+34C4|10389.160:zhèn
U+34C5|10295.030:tīng
U+34C8|10295.130:bìng
U+34C9|10297.070:huò
U+34CA|10297.040:dòng
U+34CB|10297.010:gòng
U+34CC|10297.090:chēng
U+34CE|10297.260:qīn,qìn,qǐn
U+34CF|10297.220:jiǒng
U+34D0|10298.020:lù
U+34D1|10298.040:xìng
U+34D3|10299.190:nán
U+34D4|10300.050:xiè
U+34D6|10300.170:bì
U+34D8|10278.080,10278.090:sù
U+34DA|10324.010:gōng
U+34DE|10324.110:qià
U+34DF|10331.090:pí
U+34E0|10328.100:diàn,diǎn
U+34E1|10335.020:fǔ,guā
U+34E2|10336.120:luò
U+34E3|10336.080:qià,gē
U+34E4|10332.130:qià
U+34E6|10333.030:bāi
U+34E7|10342.110:gān
U+34E9|10342.140:xuān,jiē
U+34ED|10348.050:shé
U+34F1|10349.020:tóu,shū
U+34F2|10349.080:piān
U+34F3|10348.040:dī
U+34F4|10348.010:ruǎn
U+34F6|10347.110:qiè
U+34F8|10352.040:zhuō,dōu
U+34F9|10349.200:ruì,cuì,jì
U+34FA|10350.010:jiān,qián
U+34FC|10353.010:chì
U+34FD|10354.050:chóng
U+34FE|10356.100:xī,chí
U+3501|10356.130:dēng
U+3502|10356.060:lín
U+3503|10355.010:jué,xuē
U+3504|10355.090:sù
U+3505|10360.040:xiào
U+3506|10355.110:zàn
U+350A|10359.050:zhǎn,dǎn
U+350B|10360.140:jiān,lán
U+350C|10360.110:zòu,cǒu
U+350D|10360.190:chuā,zhá
U+350E|10362.090:xiè
U+350F|10361.150:lì,luǒ
U+3512|10363.030:xí
U+3513|10366.020:jiǎn
U+3515|10367.070:jí
U+3517|10369.030:fèi,bèi,fú
U+3519|10370.050:bēng
U+351D|10373.030:liǎng,liáng
U+351E|10373.060:kuài
U+3520|10375.050:xiā,hé
U+3521|10376.130:biē
U+3522|10381.060:jué,xuē
U+3523|10382.050:léi
U+3524|10382.110:xìn
U+3525|10382.060:bài,pí
U+3526|10382.100:yǎng
U+3528|10260.070:bèi
U+3529|10260.110:è
U+352A|10260.150:lǔ
U+352E|10264.030:nuó
U+352F|10085.050:xuán,suǎn
U+3534|10089.090:yì
U+3535|10090.040:xuǎn
U+3536|10091.090:gòng,gǎn
U+3537|10084.090:lòu
U+3538|10089.030:tī
U+3539|10059.060:lè
U+353E|10310.100:xiān,jié
U+353F|10009.040:zòu
U+3542|10069.170:yín,qín
U+3543|10069.030:xī
U+3544|10069.100:zhǐ
U+3545|10070.020:jiá
U+3546|10069.260:hù
U+3547|10070.080:lā
U+3548|10071.140:yǐ
U+3549|10071.100:kè
U+354A|10071.210:fū
U+354B|10075.010:qín
U+354C|10074.010:ài
U+354E|10075.230:kè
U+3550|10080.010:xiě,xiè
U+3552|10080.130:wēi
U+3559|10389.170:jùn
U+355A|10393.020:zhǎo
U+355E|10397.020:shuā
U+355F|10397.110:kuì,kuài
U+3562|10401.100:gài,hài
U+3563|10570.020:yǎn
U+3565|10570.040:shēn
U+3566|10577.070:huà
U+3567|10584.040:xī
U+3568|10582.010:fàn
U+3569|10589.070:pàng
U+356A|10595.020:dǎn
U+356B|10594.060:fǎng,fēng
U+356C|10592.040:gōng,sòng
U+356D|10590.030:āo,ào
U+356E|10591.080:fǔ
U+356F|10588.150:nè
U+3570|10589.090:xuè,ma
U+3571|10587.060:yóu
U+3572|10585.100:huá,yíng
U+3574|10595.010:chén
U+3575|10584.140:guó
U+3576|10585.120:ňg,ň
U+3577|10604.070:huà,pā
U+3578|10608.060:lì
U+357A|10600.040:xiāo
U+357D|10597.030:sì
U+3580|10623.060:lè
U+3582|10615.040:yì
U+3583|10618.110:hǒu,hòu
U+3585|10613.070:xù
U+3586|10615.080:qú
U+3587|10613.090:ér
U+358F|10629.040:niè
U+3590|10630.100:wěi
U+3591|10624.130:xiè
U+3592|10634.030:tí
U+3594|10624.140:tǔn
U+3595|10633.060:niè,xīn
U+3598|10627.060:zhēn
U+359F|10643.150:shòu
U+35A0|10638.130:nuò
U+35A1|10645.020:yè
U+35A2|10659.030:qí
U+35A4|10648.020:hán
U+35A5|10641.090:jùn
U+35A6|10638.010:dǒng
U+35A7|10644.060:hūn,wěn
U+35A8|10648.060:lù
U+35A9|10637.020:jū,sǒu
U+35AA|10638.020:huò,guó,xù
U+35AB|10636.030:líng
U+35AD|10642.030:tiǎn
U+35AE|10643.090:lún
U+35B5|80013.130:gé
U+35B6|10651.080:yān,yè,yīn
U+35B7|10653.020:shí,tí
U+35B8|10652.150:xué,niā
U+35B9|10658.050:pēn,fèn
U+35BA|10648.090:chǔn
U+35BB|10663.080:niú,ròu
U+35BF|10637.010:xié,yé
U+35C0|10656.040:yōu
U+35C2|10652.160:shěng
U+35C3|10663.010:wěn,hūn
U+35C5|10650.040:hú
U+35C6|10649.070:gé
U+35C7|10662.100:xiá,ya
U+35C9|10648.080:lüè,è
U+35CA|10655.010:jí,léi
U+35D1|10656.060:bai
U+35D2|10658.120:ài
U+35D3|10668.160:zhuī
U+35D4|10667.050:qiān
U+35D5|10664.080:gòu,gōu
U+35D7|10671.190:bēi
U+35D8|10666.020:bó
U+35D9|10669.160:chū,nà,zhōu
U+35DA|10666.050:lì
U+35E2|10677.070:hóng,dòng,hòng
U+35E4|10675.040:cù
U+35E5|10670.010:kuò,guō
U+35E6|10673.050:láo
U+35E7|10679.050:zhì,dié
U+35E8|10675.020:xiē,ǎi
U+35E9|10679.130:xī
U+35EB|10678.040:qiè
U+35EC|10566.030:zhā
U+35ED|10677.160:xī
U+35F0|10677.120:cóng
U+35F1|10684.090:jí
U+35F2|10687.040:huò
U+35F3|10684.060:tǎ,dā
U+35F4|10687.060:yán
U+35F5|10686.090:xù
U+35F6|10687.150:pō
U+35FB|10691.080:guō
U+35FC|10690.050:yè
U+35FD|10687.170:xiǎng
U+35FE|10688.070:xuē
U+35FF|10695.010:hé,xià,xiā
U+3600|10692.100:zuò
U+3601|10691.120:yì
U+3602|10694.060:cí
U+3606|10695.080:tǎi
U+3607|10697.090:róng
U+3608|10696.230:yì,nǐ
U+3609|10692.070:zhì
U+360A|10699.120:xī,yì
U+360B|10699.060:xián
U+360C|10699.150:jù
U+360D|10699.160:jí
U+3610|10701.090:pào
U+3611|10701.100:lì
U+3613|10705.070:lán
U+3614|10705.040:sǎi
U+3615|10705.140:hǎn,lán
U+3616|10707.010:yán
U+3617|10706.060:qū
U+3619|10709.010:yán
U+361A|10708.100:hǎn
U+361B|10709.200:kān
U+361D|10711.040:niè
U+361E|10711.030:huò
U+3620|10717.140:bì
U+3622|10718.040:wěng
U+3623|10719.060:xuán,yuán
U+3624|10726.140:wān
U+3626|10417.130:qín
U+3627|10429.050:xù
U+3628|10422.180:niè
U+3629|10422.070:bì
U+362A|10423.040:hào
U+362B|10421.050:jǐng
U+362C|10426.060:ào,wù
U+3630|10427.030:zhēn
U+3635|10430.040:bù
U+3638|10438.060:zàng,zuò
U+363F|10443.180:niè
U+3640|10447.040:liù,jiù
U+3641|10445.080:méi,mù
U+3642|10445.160:duì,wèng
U+3643|10445.090:bāng
U+3644|10443.110:bì
U+3647|10452.040:chù
U+3648|10452.120:xià
U+364A|10448.050:cháng,zhàng
U+364D|10459.070:duō
U+364E|10461.110:wēi
U+3650|10464.010:duǒ
U+3653|10459.110:kuí
U+3654|10477.040:wěi,hán
U+3657|10463.060:wēi
U+3658|10461.070:yāo
U+3659|10474.060:lǒng
U+365A|10474.030:xīng
U+365B|10471.010:bǔ
U+365D|10477.050:xié
U+365E|10472.120:niè
U+365F|10476.030:lǎng
U+3660|10479.080:yī,yì
U+3661|10481.040:zōng
U+3662|10478.030:mán
U+3663|10484.010:zhàng
U+3664|10479.110:xià
U+3665|10481.130:gùn
U+3669|10486.140:liáo
U+366A|10485.100:yì
U+366B|10488.070:jí
U+366E|10488.050:dā,da
U+3670|10492.070:xiè
U+3673|10491.030:kǎn,hǎn
U+3674|10492.060:chàn
U+3677|10496.060:zhí,zhé
U+3679|10495.040:méng
U+367A|10495.120:kuí,guì
U+3680|10501.050:xī
U+3681|10502.230:qiào
U+3682|10503.020:nàng
U+3683|10468.030:yūn
U+3685|20869.050:lóng
U+3687|20869.070:zōng
U+368A|20864.160:kāi
U+368B|20866.070:diāo
U+368D|20867.070:kuǐ,kuì
U+3692|10530.010:shǎn
U+3693|10529.070:lǎi
U+3694|10536.030:niè,xìng
U+3695|10536.050:fú
U+3696|10535.060:gǎo,zé
U+3697|10534.020:qié
U+3698|10532.010:bàn,hè,fú
U+3699|10536.080:jiā
U+369A|10539.090:kōng,kuāng
