U+37AE|DERU DASU
U+3861|TOBARI KAYA
U+4E00|HITOTSU HITOTABI HAJIME
U+4E01|HINOTO ATARU YOBORO
U+4E02|SAMATAGERARERU
U+4E03|NANATSU NANATABI
U+4E04|UE KAMI
U+4E05|SHIMO
U+4E07|YOROZU
U+4E08|TAKE DAKE
U+4E09|MITSU MITABI
U+4E0A|UE KAMI NOBORU
U+4E0B|SHITA SHIMO MOTO
U+4E0C|SONO SORE DAI
U+4E0D|SEZU NIARAZU INAYA
U+4E0E|ATAERU KUMISURU TOMONI
U+4E0F|MIENU
U+4E10|KOU
U+4E11|USHI
U+4E12|USHI
U+4E13|MOPPARA
U+4E14|KATSU
U+4E15|OOKII
U+4E16|YO
U+4E17|YO
U+4E18|OKA
U+4E19|HINOE
U+4E1E|SUKUU TASUKERU
U+4E1F|SARU NAGEUTSU
U+4E20|OKA
U+4E21|FUTATSU
U+4E22|SARU NAGEUTSU
U+4E23|TORI
U+4E24|FUTATSU
U+4E26|NAMI NARABERU NARABINI
U+4E28|SUSUMU SHIRIZOKU
U+4E29|MATSUWARU
U+4E2A|KO HI
U+4E2B|HUTAMATA AGEMAKI
U+4E2D|NAKA UCHI ATARU
U+4E2E|MOTSU TORU
U+4E2F|SANRANSURU
U+4E30|MIMEYOI SHIGERU
U+4E31|AGEMAKI ARAGANE
U+4E32|KUSHI TSURANUKU
U+4E33|KUSHI
U+4E35|KUSANOMURAGARI
U+4E36|TEN CHOBO SHIRUSHI
U+4E38|MARUI MARUMERU TAMA
U+4E39|AKA NI
U+4E3B|NUSHI OMO ARUJI
U+4E3C|DONBURI
U+4E3D|URUWASHI
U+4E3E|AGERU
U+4E3F|MOTORU
U+4E40|MAGARU
U+4E41|NAGARERU
U+4E42|KARU OSAMERU OSAMARU
U+4E43|SUNAWACHI NO
U+4E44|SHIME SHITE
U+4E45|HISASHII
U+4E46|HISASHII
U+4E4B|YUKU KORE NO
U+4E4D|TACHIMACHI NAGARA
U+4E4E|YO KANA KA
U+4E4F|TOBOSHII
U+4E51|NARABITATSU
U+4E55|TORA
U+4E56|MODORU SOMUKU
U+4E57|NORU NOSERU
U+4E58|NORU
U+4E59|KINOTO OTO
U+4E5A|KAKURERU
U+4E5C|YABUNIRAMI
U+4E5D|KOKONOTSU
U+4E5E|KOU KOI
U+4E5F|NARI MATA
U+4E62|KASA FUTA OOU
U+4E68|HAJIMERU HAJIMARU
U+4E69|URANAU
U+4E6A|KUMA
U+4E71|MIDARERU OSAMERU MIDASU
U+4E73|CHICHI CHI
U+4E74|HINERU
U+4E75|SUSUMU
U+4E79|KAWAKU KAWAKASU
U+4E7E|KAWAKU KAWAKASU INUI
U+4E7F|OSAMERU
U+4E80|KAME
U+4E82|MIDARERU
U+4E83|URERU
U+4E84|MUSABORU
U+4E85|KAGI
U+4E86|OWARU TSUINI
U+4E88|ATAERU ARAKAJIME
U+4E89|ARASOU ARASOI IKADEKA
U+4E8A|KOTO TSUKAU KOTOTOSURU
U+4E8B|KOTO TSUKAU KOTOTOSURU
U+4E8C|FUTATSU FUTATABI
U+4E8D|TATAZUMU
U+4E8E|KOKONI YUKU
U+4E8F|KAKERU
U+4E91|IU
U+4E92|TAGAI
U+4E94|ITSUTSU
U+4E95|I IDO
U+4E96|YO YOTSU YOTTSU YON
U+4E97|TOSHI YOWAI
U+4E98|MOTOMERU WATARI
U+4E99|WATARU WATARI
U+4E9B|ISASAKA
U+4E9C|TSUGU
U+4E9D|SOROU HITOSHII HITOSHIKU
U+4E9E|TSUGU
U+4E9F|SUMIYAKA
U+4EA0|KEISAN NABEBUTA
U+4EA1|NAI NAKUNARU HOROBIRU
U+4EA2|TAKABURU
U+4EA4|MAJIWARU MAJIRU KAU
U+4EA5|I
U+4EA6|MATA
U+4EA8|TATEMATSURU TOORU
U+4EAB|SUSUMERU UKERU
U+4EAC|MIYAKO
U+4EAD|AZUMAYA
U+4EAE|AKIRAKA SUKE
U+4EB0|MIYAKO
U+4EB1|YO YORU
U+4EB6|ATSUI MAKOTO
U+4EB7|KADO YASUI
