U+37AE|SHUTSU SUI
U+3861|CHU JIU
U+4E00|ICHI ITSU
U+4E01|TEI CHOU TOU
U+4E02|KOU
U+4E03|SHICHI SHITSU
U+4E04|SHOU
U+4E05|KA
U+4E07|MAN BAN
U+4E08|JOU CHOU
U+4E09|SAN
U+4E0A|JOU SHOU
U+4E0B|KA GE
U+4E0C|KI GI
U+4E0D|FU BU FUTSU HI
U+4E0E|YO
U+4E0F|BEN MEN
U+4E10|KAI KATSU
U+4E11|CHUU CHU
U+4E12|CHUU
U+4E13|SEN
U+4E14|SHA SHO
U+4E15|HI
U+4E16|SE SEI
U+4E17|SEI SE
U+4E18|KYUU
U+4E19|HEI HYOU
U+4E1E|SHOU JOU
U+4E1F|CHUU CHU
U+4E20|KYUU
U+4E21|RYOU
U+4E22|CHUU CHU
U+4E23|YUU
U+4E24|RYOU
U+4E26|HEI
U+4E28|KON SHI JO NYO
U+4E29|KYUU
U+4E2A|KA KO
U+4E2B|A
U+4E2D|CHUU
U+4E2E|KEKI KYAKU
U+4E2F|KAI
U+4E30|HOU FU FUU BU
U+4E31|KAN KOU KEN
U+4E32|SEN KAN
U+4E33|SAN SEN
U+4E35|SAKU
U+4E36|CHU
U+4E38|GAN
U+4E39|TAN
U+4E3B|SHU SU
U+4E3C|SEI TAN SHOU
U+4E3D|REI
U+4E3E|KYO
U+4E3F|HETSU HECHI YOU
U+4E40|FUTSU BUCHI
U+4E41|I
U+4E42|GAI GE
U+4E43|DAI AI NAI
U+4E45|KYUU KU
U+4E46|KYUU KU
U+4E47|TAKU CHAKU
U+4E48|EU
U+4E4B|SHI
U+4E4D|SAKU SA
U+4E4E|KO
U+4E4F|BOU
U+4E51|GIN GON
U+4E52|HEI
U+4E53|HAU
U+4E55|KO
U+4E56|KAI
U+4E57|JOU SHOU
U+4E58|JOU SHOU
U+4E59|OTSU
U+4E5A|IN ON
U+4E5C|BA ME
U+4E5D|KYUU KU
U+4E5E|KOTSU KI
U+4E5F|YA
U+4E62|GAI
U+4E63|KYUU
U+4E68|SHI
U+4E69|KEI
U+4E6A|DOU NOU
U+4E71|RAN
U+4E73|NYUU
U+4E74|SETSU ZECHI
U+4E75|EN
U+4E79|KAN KEN
U+4E7E|KAN KEN GEN
U+4E7F|CHI JI
U+4E80|KI KYUU KIN
U+4E81|KEN
U+4E82|RAN RON
U+4E83|RIN
U+4E84|I
U+4E85|KETSU
U+4E86|RYOU
U+4E88|YO SHA
U+4E89|SOU
U+4E8A|JI ZU SHI
U+4E8B|JI SHI
U+4E8C|NI JI
U+4E8D|CHOKU
U+4E8E|U KU
U+4E8F|U
U+4E91|UN
