U+3447|482.140:zhòu
U+344A|434.140:yì
U+356E|101.180:fǔ
U+360E|130.150:hǎn
U+364D|084.100:duō
U+3658|427.060:yāo
U+3666|405.100:xié
U+36C3|173.040:jié
U+36DA|370.160:tǒng
U+36F9|283.010:pián
U+37C3|346.030:sī
U+3807|183.030:jiù
U+3813|248.110:méng
U+3918|482.160:zhòu
U+3944|226.230:líng
U+39D0|348.060:sǒng
U+39D1|147.100:huī
U+39DF|200.120:kuǎi
U+3AF0|210.120:làng
U+3B0A|145.050:huǎn
U+3B0E|399.060:xiǎn
U+3B1A|041.080:chè
U+3B4E|107.180:gāng
U+3B55|307.100:qū
U+3BBE|210.050:lǎng
U+3C00|215.160:lí
U+3CC7|102.160:fù
U+3CD8|047.050:chōng
U+3CDA|413.130:xù
U+3D14|156.060:jí
U+3D50|189.060:jué
U+3DB2|442.150:yòng
U+3E06|194.150:kào
U+3E0C|152.080:huò
U+3E84|448.050:yǔ
U+3EEC|372.010:tū
U+3F4F|107.090:gàn
U+3FE0|147.070:huàng
U+4056|231.010:lōu
U+40AE|237.010:lüè
U+40C5|071.020:dī
U+40CE|463.120:zhà
U+415F|031.130:cǎn
U+4339|181.140:jiǒng
U+4383|312.080:rǎn
U+4396|461.100:zēng
U+43DD|486.120:zhuān
U+43E1|337.130:shì
U+43F2|363.100:tī
U+4403|190.190:jùn
U+44D6|305.060:qióng
U+44DB|307.150:qū
U+44E8|439.010:yīng
U+44EB|291.180:qí
U+44EC|490.050:zhuó
U+45D6|073.090:dì
U+45DB|411.080:xiū
U+45EA|470.150:zhè
U+45F4|368.130:tíng
U+4723|407.010:xīn
U+4759|049.110:chū
U+48BA|049.100:chū
U+48BC|114.030:gōng
U+48D8|360.060:táng
U+497D|286.180:pō
U+4983|489.140:zhuō
U+4C9F|438.120:yìn
U+4CA0|053.180:chūn
U+4CA2|363.060:téng
U+4D13|334.060:shī
U+4D14|168.170:jiāo
U+4D15|224.080:liè
U+4D16|179.020:jīng
