U+3529|qop
U+3650|njiuɛn
U+37FC|ngɑu
U+38D0|bhæng
U+3A73|siǒng
U+3AC3|*qiu qo
U+3C9A|shra
U+3D3E|bhət
U+3E0C|hok huɑk
U+3E84|iǒ
U+3E91|sɑu
U+410D|jrhà
U+41BD|kèu
U+4366|liɛ
U+43D1|jiɛk
U+4670|liɛ
U+48DB|sit
U+49FA|qiòng
U+4E00|*qit qit
U+4E01|*deng deng
U+4E03|*tsit tsit
U+4E08|*djhiɑ̌ng djhiɑ̌ng
U+4E09|*sɑm sɑm
U+4E0A|*zhiɑ̀ng zhiɑ̀ng zhiɑ̌ng
U+4E0B|hà hǎ
U+4E0D|*biət biət
U+4E14|*tsiǎ tsiǎ
U+4E15|pyi
U+4E16|*shiɛì shiɛì
U+4E18|*kiou kiou
U+4E1E|*zhiəng zhiəng
U+4E20|kiou
U+4E26|bhěng
U+4E2D|*djiùng djiung
U+4E31|guàn
U+4E38|huɑn
U+4E39|*dɑn dɑn
U+4E3B|*jiǒ jiǒ
U+4E43|*nəǐ nəǐ
U+4E45|*gioǔ gioǔ
U+4E46|gioǔ
U+4E48|qeu
U+4E4B|*jiə jiə
U+4E4D|jrhà
U+4E4E|ho
U+4E4F|bhiæp
U+4E56|guæi
U+4E57|jhiəng
U+4E58|jhiəng jhiə̀ng
U+4E59|qyit
U+4E5D|*gioǔ gioǔ
U+4E5E|kiət
U+4E5F|iǎ
U+4E73|njiǒ
U+4E7E|*ghyɛn ghyɛn gɑn
U+4E82|*luɑ̀n luɑ̀n
U+4E86|*leǔ leǔ
U+4E88|*iu iu
U+4E8B|*jrhiə̀ jrhiə̀
U+4E8C|*njì njì
U+4E8E|*hio hio
U+4E91|*hiuən hiuən
U+4E92|hò
U+4E94|*ngǒ ngǒ
U+4E95|*tsiɛ̌ng tsiɛ̌ng
U+4E9E|qà
U+4EA1|*miɑng miɑng
U+4EA2|kɑ̀ng
U+4EA4|*gau gau
U+4EA5|həì
U+4EA6|*iɛk iɛk
U+4EAC|giæng
U+4EAD|*dheng dheng
U+4EAE|liɑ̀ng
U+4EBA|*njin njin
U+4EBE|miɑng
U+4EC1|njin
U+4EC4|*jriək jriək
U+4EC6|più
U+4ECA|*gyim gyim
U+4ECB|gæì
U+4ECD|*nə̌i njiəng
U+4ED6|*tɑ tɑ
U+4ED7|djhiɑ̀ng djhiɑ̌ng
U+4ED8|biò
U+4ED9|*siɛn siɛn
U+4EDD|dhung
U+4EDE|njìn
U+4EE3|*dhəì dhəì
U+4EE4|*liɛ̀ng liɛng
U+4EE5|*iə̌ iə̌
U+4EED|nhìn njìn
U+4EF0|*ngiɑ̌ng ngiɑ̌ng
U+4EF2|*djhiùng djhiùng
U+4EFB|*njim njim
U+4F0A|*qi qi
