U+346B|nộm
U+34DF|phay
U+34E0|chẻm
U+34F6|khía
U+356D|êu
U+3570|mau
U+3575|uống
U+3578|lắp
U+3587|nhe
U+3591|nhái
U+3597|sùm
U+35A0|nhại
U+35A3|vòi
U+35A7|hôn
U+35AB|lừng
U+35B9|vồn
U+35BC|mỏ
U+35BD|hợt
U+35D1|bới
U+35D6|thào
U+35D9|sò
U+35DA|trắt
U+35DC|súc
U+35E2|rống
U+35F4|nhằn
U+3607|vang
U+360B|hờn
U+3613|ran
U+3628|nồi
U+3664|hố
U+366E|đắp
U+3674|thềm
U+36EA|em
U+3874|lụp
U+3913|bỡn
U+3915|trót
U+3921|sệt
U+3933|bẽ
U+3965|ngùng
U+3986|hú
U+3989|nhát
U+3996|muốn
U+39C5|đeo
U+39CD|phang
U+39FC|bíu
U+39FE|hốt
U+3A14|giằm
U+3A22|nâng
U+3A36|đẽo
U+3A52|cắm
U+3A5C|giam
U+3A61|dủi
U+3A62|mót
U+3A67|bẹo
U+3AFB|luôn
U+3AFC|xế
U+3AFE|thửng
U+3B72|góc
U+3B88|nậy
U+3B94|tròng
U+3BDD|rọ
U+3BF2|cụm
U+3BF7|bục
U+3BFF|xộp
U+3C01|lõi
U+3C19|nạng
U+3CB8|ướt
U+3CC9|ngoét
U+3CCC|nhớp
U+3CE5|lỏng
U+3CEA|vữa
U+3CEF|tăn
U+3CF6|nhỏ
U+3D52|phè
U+3D62|loi
U+3DA4|tạch
U+3DDA|đoành
U+3DDD|dụt
U+3E65|chó
U+3E6F|hươu
U+3E94|voi
U+3E9E|dữ
U+3EA7|heo
U+3F73|võ
U+3F7F|cùi
U+3F84|rù
U+3FBE|hem
U+4021|xem
U+4027|hòng
U+4029|nhác
U+405B|coi
U+41C4|ngất
U+41EE|sậy
U+41FB|vỉ
U+422B|nắp
U+42B7|chài
U+42D6|luột
U+42E5|lưới
U+42E6|mối
U+43E7|da
U+43F4|teo
U+43FE|bọng
U+4425|ỏng
U+442D|giái
U+4443|mông
U+449C|ngâu
U+4532|đắng
U+455D|sắng
U+456F|bèo
U+45B4|riêu
U+45B7|he
U+45CA|vẹm
U+4606|hến
U+47E2|giẫy
U+47EC|kheo
U+4823|rón
U+48A6|suốt
U+48F7|chua
U+4920|chỉa
U+4932|xích
U+4C4A|mè
U+4C55|mòi
U+4CC2|sếu
U+4CF1|vọ
U+4D0C|mòng
U+4E00|nhất
U+4E01|đinh
U+4E03|thất
U+4E07|vạn
U+4E08|trượng
U+4E09|tam
U+4E0A|thượng
U+4E0B|hạ
U+4E0D|bất
U+4E0E|dữ
U+4E10|cái
U+4E11|sửu
U+4E14|thả
U+4E15|vậy
U+4E16|thế
U+4E18|khâu
U+4E19|bính
U+4E1E|thừa
U+4E22|điêu
U+4E2A|cá
U+4E2B|a
U+4E2D|trung
U+4E30|phong
U+4E32|xuyến
U+4E38|hoàn
U+4E39|đam
U+4E3B|chúa
U+4E3F|phết
U+4E42|nghệ
U+4E43|nải
U+4E45|cửu
U+4E4B|chi
U+4E4D|chạ
U+4E4E|hồ
U+4E4F|phạp
U+4E56|quai
U+4E58|thặng
U+4E59|ất
U+4E5D|cửu
U+4E5E|khất
U+4E5F|dã
U+4E71|loạn
U+4E73|vú
U+4E7E|kiền
U+4E82|loạn
U+4E86|liễu
U+4E88|nhừ
U+4E8B|sự
U+4E8C|nhì
U+4E8D|sục
U+4E8E|vu
U+4E91|vân
U+4E92|hỗ
U+4E94|ngũ
U+4E95|tỉnh
U+4E99|cẳng
U+4E9B|ta
U+4E9F|cấc
U+4EA1|vong
U+4EA2|cang
U+4EA4|giao
U+4EA5|hợi
U+4EA8|hanh
U+4EAB|hưởng
U+4EAC|kinh
U+4EAD|đình
U+4EBA|nhân
U+4EC0|thập
U+4EC1|nhân
U+4EC3|đừng
U+4EC4|trắc
U+4EC6|bọc
U+4EC7|cừu
U+4EC9|kẻ
U+4ECA|kim
U+4ECB|giới
U+4ECD|nhưng
U+4ED4|tử
U+4ED5|sĩ
U+4ED6|tha
U+4ED7|trượng
U+4ED8|phó
U+4ED9|tiên
U+4EDD|đồng
U+4EE3|đại
U+4EE4|lệnh
U+4EF0|ngưỡng
U+4EF6|kiện
U+4EF7|giá
U+4EFB|nhậm
U+4EFD|phần
U+4EFF|phảng
U+4F01|xí
U+4F0A|y
U+4F0D|ngũ
U+4F0E|kĩ
U+4F0F|phục
U+4F10|phạt
U+4F11|hưu
U+4F1A|hội
U+4F29|nho
U+4F2E|nó
U+4F2F|bá
U+4F32|ni
U+4F34|bạn
U+4F35|tớ
U+4F36|rành
U+4F3C|tự
U+4F3D|già
U+4F43|điền
U+4F4A|bè
U+4F4D|vị
U+4F4E|đây
U+4F4F|trú
U+4F50|tá
U+4F53|thể
U+4F59|dư
U+4F5A|dật
U+4F5B|phật
U+4F5C|tác
U+4F5E|nịnh
U+4F60|nể
U+4F73|giai
U+4F75|tính
U+4F7B|điêu
U+4F7F|sứ
U+4F85|hời
U+4F86|lai
U+4F88|xỉ
U+4F8B|lề
U+4F94|mầu
U+4F96|lỏn
U+4F98|sá
U+4F9B|cung
U+4F9D|y
U+4FAF|hậu
U+4FB1|rình
U+4FB5|xâm
U+4FB6|lứa
U+4FBC|bụt
U+4FBF|tiện
U+4FC2|hệ
U+4FC3|xúc
U+4FCA|tuấn
U+4FD0|lợi
U+4FD1|dõng
U+4FD7|tục
U+4FDA|lái
U+4FDD|bảo
U+4FE0|hiệp
U+4FE1|tín
U+4FEE|tu
U+4FF1|câu
U+4FF8|bổng
U+4FFA|em
U+5000|trành
U+5002|tính
U+5008|lười
U+500B|cá
U+500D|bội
U+5011|món
U+5012|đảo
U+5016|hãnh
U+5018|thẳng
U+5019|hầu
U+501A|ỷ
U+501F|tá
U+5021|xướng
U+5023|phỏng
U+5024|trị
U+5026|quyện
U+5029|thiến
U+502A|nghê
U+502B|luân
U+502C|xấc
U+502D|oải
U+5043|ễnh
U+5045|chổng
U+5048|kệ
U+5049|vĩ
U+504F|thiên
U+505C|đình
U+5065|kiện
U+5068|thày
U+506A|bức
U+5074|trắc
U+5075|trinh
U+5076|ngẫu
U+507D|nguỵ
U+5085|phó
U+508C|má
U+508D|bàng
U+5091|kiệt
U+5098|tàn
U+5099|bị
U+50A6|cốt
U+50AC|thòi
U+50B1|tuồng
U+50B2|ngạo
U+50B3|truyền
U+50B5|trái
U+50B7|thương
U+50BE|khuynh
U+50C2|lũ
U+50C4|xỉu
U+50CF|tượng
U+50D1|quều
U+50D5|bộc
U+50DA|liêu
U+50E4|dạn
U+50E5|nghẹo
U+50E7|tăng
U+50ED|tiếm
U+50EE|đồng
U+50F9|giá
U+5100|nghi
U+5102|nùng
U+5104|ức
U+5108|cúi
U+5109|kiệm
U+5112|nho
U+5133|sàm
U+513C|nghiễm
U+5140|ngột
U+5143|nguyên
U+5144|huynh
U+5145|sung
U+5146|triệu
U+5147|hung
U+5148|tiên
U+5149|quang
U+514B|khắc
U+514D|miễn
U+5151|đoài
U+5154|thỏ
U+515C|đâu
U+5162|cạnh
U+5165|nhập
U+5168|toàn
U+5169|lưỡng
U+516B|bát
U+516C|công
U+516D|lục
U+516E|hề
U+5171|cộng
U+5175|binh
U+5176|kì
U+5177|cụ
U+5178|điển
U+517C|kiêm
U+5185|nội
U+5189|nhiễm
U+518C|sách
U+518D|tái
U+5192|mạo
U+5195|miện
U+5197|nhũng
U+5198|đem
U+51A0|quán
U+51A1|trũng
U+51A4|oan
U+51A5|minh
U+51AC|đông
U+51B0|băng
U+51B5|huống
U+51B6|dã
U+51B7|lạnh
U+51BD|rét
U+51C6|chốn
U+51CC|lăng
U+51CD|đông
U+51DC|lẫm
U+51DD|ngưng
U+51E0|kỉ
U+51E1|phàm
U+51ED|bằng
U+51F1|khải
U+51F6|hung
U+51FA|xuất
U+51FD|hòm
U+5200|đao
U+5201|điêu
U+5203|nhẫn
U+5206|phân
U+5207|thiết
U+520A|san
U+520C|thổn
U+520E|vẫn
U+5211|hình
U+5217|liệt
U+521D|sơ
U+521F|xẻo
U+5220|san
U+5224|phán
U+5225|biết
U+5227|kiếp
U+5228|bào
U+5229|lợi
U+5230|đáo
U+5236|chế
U+5237|loát
U+523A|thích
U+523B|khắc
U+5247|tắc
U+524A|tước
U+524D|tiền
U+5256|bo
U+525D|bóc
U+5267|cưa
U+526A|tiện
U+526F|phó
U+5272|cắt
U+5275|sáng
U+5277|xẻng
U+527F|tiễu
U+5282|khoét
U+5283|vạch
U+5284|chép
U+5287|kịch
U+528D|kiếm
U+5291|tễ
U+5295|chặt
U+529B|lực
U+529F|công
U+52A0|gia
U+52A9|trợ
U+52AC|cù
U+52B9|hiệu
U+52BE|hạch
U+52C1|cứng
U+52C3|bột
U+52C7|dũng
U+52C9|miễn
U+52D1|sắc
U+52D2|lắc
U+52D5|động
U+52D6|húc
U+52D8|khám
U+52D9|vụ
U+52DB|huân
U+52DD|thắng
U+52DE|lao
U+52E2|thế
U+52E4|cần
U+52E6|tẹo
U+52F5|lệ
U+52F8|khuyến
U+52FA|chước
U+52FF|vật
U+5305|bao
U+5308|hung
U+530D|bò
U+530F|bầu
U+5310|bặc
U+5316|hoá
U+531D|táp
U+5321|khuôn
U+5323|hộp
U+532A|phỉ
U+532C|tủ
U+5331|quĩ
U+5339|thất
U+533C|hộp
U+533F|nặc
U+5340|khu
U+5341|thập
U+5343|thiên
U+5345|tạp
U+5347|thăng
U+5348|ngọ
U+534A|bán
U+534C|tấp
U+5352|tốt
U+5353|trác
U+5354|hiếp
U+5357|nam
U+535A|bác
U+535C|bốc
U+535E|biện
U+5360|chiêm
U+5366|quái
U+536C|ngang
U+536F|mão
U+5370|ấn
U+5371|nguy
U+5372|ngoẹo
U+5373|tức
U+5377|quyển
U+537B|khước
U+537F|khanh
U+5384|ách
U+5393|day
U+5394|chái
U+5398|li
U+539B|sảnh
U+539D|xó
U+539F|nguyên
U+53AD|ướm
U+53B2|lẹ
U+53BB|khứ
U+53C3|tham
U+53C8|lại
U+53CA|cập
U+53CB|hữu
U+53CC|song
