U+3447|1506.160:zhòu
U+344C|0659.100:kuāng
U+3469|0750.060:luó
U+3473|1506.161:zhòu
U+3493|1107.091:tà
U+34E6|0019.070:bāi
U+3509|1512.080:zhǔ
U+351A|0576.140:jié
U+3551|0158.022:chú
U+355C|1044.030:shǐ
U+3560|1073.082:shuāng
U+3576|0811.021:ň 0826.021:ňg
U+358A|1315.030:xún
U+359E|1177.080:wāi
U+35C4|0653.080:kū
U+35CF|1177.070:wāi
U+35D1|0027.030:bai
U+3604|0687.080:lēng
U+3606|1110.022:tǎi
U+360E|0439.080:hǎn
U+3617|0943.020:qū
U+3625|1400.070:yóu
U+362D|0012.131:ào
U+3631|1112.061:tān
U+3635|0096.020:bù
U+3658|1339.050:yāo
U+365F|0675.080:lǎng
U+3666|1275.040:xié
U+3681|0922.052:qiào
U+36A2|0840.080:nú
U+36BB|0520.120:jī
U+36C3|0576.050:jié
U+3743|0786.051:miǎn
U+3761|1548.030:zuì
U+377F|0085.010:bǒ
U+378E|0018.020:bǎ
U+3797|0941.040:qiú
U+3798|0265.090:dū
U+379E|1092.070*,1092.071:sóng
U+37C2|0806.030:mǔ
U+37D6|0733.080:lòng
U+37E4|0740.060:lù
U+37F7|0203.040:da
U+3804|1233.051:xí
U+382F|1364.030:yǐ
U+383E|1419.070:yuān
U+3851|0920.071:qiāo
U+3853|0663.201:kūn
U+3860|1478.011:zhèng
U+3861|0159.030:chú
U+3867|1478.010:zhèng
U+3905|0004.090:ài
U+3918|1506.150:zhòu
U+3925|0437.020:hài
U+394F|1138.100:tiǎn
U+3966|0924.052:qiè
U+396E|1506.151:zhòu
U+3975|0508.061:hùn
U+39C0|0527.020:jí
U+39CF|0360.060:gāng
U+39D0|1092.100:sǒng
U+39D1|0500.030,0500.031*:huī
U+39DF|0656.080:kuǎi
U+3A04|1505.010:zhōu
U+3A17|0580.031:jié
U+3A18|1292.011:xǐng
U+3A2A|0498.031:huàng
U+3A4B|1265.040*,1265.041:xiāo
U+3A50|0225.051:dèn
U+3A59|0981.091:sāi
